about_to_divide	cell_age	cellxposition	cellyposition	channel_average_cells	channel_in_multipoint	channel_orientation	channel_width	division_age	elongation_rate	fluorescence_0	fluorescence_background_0	fluorescence_count	fluorescence_raw_0	fluorescence_std_0	length	multipoint	timepoint	timepoint_num	uid_cell	uid_parent	uid_thiscell	uid_track
0	8.00006459	173.5	457.02889078	6.92083333	0	0	1.235	26.79492063	-0.01463656	-14.65269597	3247.53965886	1	3232.88696289	72.40779877	1.43	0	29869.8442033	33	35	0	68	35
0	8.24848753	173.5	460.52883724	6.92083333	0	0	1.235	26.79492063	0.00782715	-14.72850955	3247.41137088	1	3232.68286133	68.99022675	1.885	0	30764.166775	34	35	0	69	35
0	8.4989021	175.5	462.55456961	6.92083333	0	0	1.235	26.79492063	-0.00443709	-17.17671103	3247.42133993	1	3230.24462891	78.14347839	1.625	0	31665.65922005	35	35	0	70	35
0	8.88678666	173.5	459.55807878	6.92083333	0	0	1.235	26.79492063	0.00143227	-15.04416961	3247.66623993	1	3232.62207031	67.02161407	1.755	0	33062.04366203	36	35	0	71	35
0	8.99985958	175.5	462.0550902	6.92083333	0	0	1.235	26.79492063	0.00245663	-17.62073842	3247.59119741	1	3229.97045898	67.70354462	1.82	0	33469.1061664	37	35	0	72	35
0	9.24849838	173.5	456.561786	6.92083333	0	0	1.235	26.79492063	0.00558597	-18.73625774	3247.31877727	1	3228.58251953	71.67645264	2.145	0	34364.2058252	38	35	0	73	35
0	9.49881656	174.5	459.05858773	6.92083333	0	0	1.235	26.79492063	-0.0033291	-17.30071382	3247.49089937	1	3230.19018555	67.18215179	1.95	0	35265.35130195	39	35	0	74	35
0	9.88626507	173.5	461.52798903	6.92083333	0	0	1.235	26.79492063	-0.00071694	-3.47715338	3245.82407721	1	3242.34692383	69.55912018	1.885	0	36660.165909	40	35	0	75	35
0	9.99994103	173.5	457.55558629	6.92083333	0	0	1.235	26.79492063	-0.01954874	-7.24376916	3245.91979456	1	3238.67602539	71.95237732	1.365	0	37069.3993787	41	35	0	76	35
0	10.24861369	173.5	459.02971089	6.92083333	0	0	1.235	26.79492063	0.01005338	-4.14536805	3245.72837586	1	3241.58300781	66.04676056	1.95	0	37964.62095013	42	35	0	77	35
0	10.49893992	173.5	460.02877257	6.92083333	0	0	1.235	26.79492063	-0.00221933	-2.78680468	3245.83221484	1	3243.04541016	70.05799103	1.82	0	38865.79539695	43	35	0	78	35
0	10.8870317	173.5	459.02929386	6.92083333	0	0	1.235	26.79492063	0.00286301	-10.02485467	3247.35786248	1	3237.33300781	67.32123566	2.08	0	40262.92579655	44	35	0	79	35
0	10.99989215	173.5	459.02877257	6.92083333	0	0	1.235	26.79492063	-0.0049225	-10.16374877	3247.49309448	1	3237.3293457	70.39411926	1.95	0	40669.22342205	45	35	0	80	35
0	11.24856618	174.5	458.55858773	6.92083333	0	0	1.235	26.79492063	0.00111704	-9.39169236	3247.22543259	1	3237.83374023	66.38510132	2.015	0	41564.44991023	46	35	0	81	35
0	11.49865853	175.5	457.55736683	6.92083333	0	0	1.235	26.79492063	-0.0066642	-9.72579425	3247.36153644	1	3237.63574219	67.36943817	1.625	0	42464.78238678	47	35	0	82	35
0	11.88676368	173.0	458.52964584	6.92083333	0	0	1.3	26.79492063	0.00286291	-13.00393584	3248.47170928	1	3235.46777344	64.94789886	1.885	0	43861.96090988	48	35	0	83	35
0	12.00033018	173.5	459.02924154	6.92083333	0	0	1.235	26.79492063	0.00244595	-13.8703064	3248.41815796	1	3234.54785156	64.88291168	1.95	0	44270.80030965	49	35	0	84	35
0	12.24856569	173.0	458.52971089	6.92083333	0	0	1.3	26.79492063	0.00111901	-14.27782537	3248.16039373	1	3233.88256836	70.11210632	2.015	0	45164.44815195	50	35	0	85	35
0	12.49841359	174.5	455.05775368	6.92083333	0	0	1.235	26.79492063	-0.00778251	-14.87124458	3248.37173286	1	3233.50048828	67.76618195	1.56	0	46063.900601	51	35	0	86	35
0	12.88694818	174.5	461.02792454	6.92083333	0	0	1.235	26.79492063	0.00285975	-9.94674936	3249.13302866	1	3239.1862793	68.36997986	1.82	0	47462.62511775	52	35	0	87	35
0	12.99995724	174.0	457.55605729	6.92083333	0	0	1.17	26.79492063	-0.01229007	-6.84505765	3249.49422758	1	3242.64916992	70.24082947	1.495	0	47869.45772235	53	35	0	88	35
0	13.24864792	173.5	459.52924154	6.92083333	0	0	1.235	26.79492063	0.00670177	-9.9889013	3249.11316888	1	3239.12426758	69.09748077	1.885	0	48764.74419333	54	35	0	89	35
0	13.49878145	174.5	460.08570313	6.92083333	0	0	1.235	26.79492063	0.00111052	-11.52222789	3248.86085093	1	3237.33862305	69.92211151	1.95	0	49665.22488003	55	35	0	90	35
0	13.88738341	174.5	460.05767448	6.92083333	0	0	1.235	26.79492063	-0.00142963	-7.26069516	3248.68598813	1	3241.42529297	67.13093567	1.82	0	51064.19195763	56	35	0	91	35
0	13.99978356	175.5	461.08435886	6.92083333	0	0	1.235	26.79492063	0.0	-6.98886888	3248.36386888	1	3241.375	68.40333557	1.82	0	51468.83250438	57	35	0	92	35
0	14.24836763	174.5	458.05900475	6.92083333	0	0	1.235	26.79492063	0.00223488	-9.16646782	3248.44674126	1	3239.28027344	64.43559265	1.95	0	52363.73512923	58	35	0	93	35
0	14.49881723	174.5	458.55767448	6.92083333	0	0	1.235	26.79492063	0.00110912	-9.18080587	3248.5174758	1	3239.33666992	66.68613434	2.015	0	53265.35371195	59	35	0	94	35
0	14.88615152	175.5	460.08475063	6.92083333	0	0	1.235	26.79492063	-0.00215146	-20.39168551	3248.41463473	1	3228.02294922	68.0085144	1.82	0	54659.75714173	60	35	0	95	35
0	14.99999612	174.5	459.05767448	6.92083333	0	0	1.235	26.79492063	0.00487995	-21.71493514	3248.4737242	1	3226.75878906	63.27025223	1.95	0	55069.59769205	61	35	0	96	35
0	15.2488074	174.5	459.58570313	6.92083333	0	0	1.235	26.79492063	0.00111642	-22.08286807	3248.67271182	1	3226.58984375	63.67252731	2.015	0	55965.31830623	62	35	0	97	35
0	15.4986667	173.5	460.02916434	6.92083333	0	0	1.235	26.79492063	-0.00555868	-23.32624605	3248.94001558	1	3225.61376953	70.95953369	1.69	0	56864.81179898	63	35	0	98	35
0	15.88700297	175.5	460.55546964	6.92083333	0	0	1.235	26.79492063	0.00214591	-19.55196676	3248.11788473	1	3228.56591797	67.07695007	1.885	0	58262.82234878	64	35	0	99	35
0	16.00004116	174.0	460.05636983	6.92083333	0	0	1.17	26.79492063	0.00245738	-20.08638822	3248.23824369	1	3228.15185547	69.09820557	1.95	0	58669.759831	65	35	0	100	35
0	16.24878825	174.5	458.05767448	6.92083333	0	0	1.235	26.79492063	0.00223342	-19.75439039	3248.1018025	1	3228.34741211	69.09815216	2.08	0	59565.24937143	66	35	0	101	35
0	16.49861474	174.5	459.52830398	6.92083333	0	0	1.235	26.79492063	-0.00333565	-20.73238358	3248.32784256	1	3227.59545898	64.10195923	1.885	0	60464.62475168	67	35	0	102	35
0	17.00834937	173.5	458.55858773	6.92083333	0	0	1.235	26.79492063	0.00108989	-13.30074635	3247.86226979	1	3234.56152344	65.46669769	2.015	0	62299.6694029	68	35	0	103	35
0	17.12254947	174.5	461.05636983	6.92083333	0	0	1.235	26.79492063	-0.00729713	-16.07302954	3248.15432837	1	3232.08129883	67.79276276	1.82	0	62710.78976193	69	35	0	104	35
0	17.37112076	174.5	458.58746457	6.92083333	0	0	1.235	26.79492063	0.00335249	-13.91781186	3247.98324154	1	3234.06542969	64.24944305	2.015	0	63605.64641885	70	35	0	105	35
0	17.62169367	174.5	458.55900475	6.92083333	0	0	1.235	26.79492063	-0.00221714	-14.05586177	3248.03364497	1	3233.9777832	64.38340759	1.885	0	64507.70889768	71	35	0	106	35
0	18.00945097	175.5	460.08435886	6.92083333	0	0	1.235	26.79492063	0.00071637	-6.45826809	3247.4709634	1	3241.01269531	72.67788696	1.95	0	65903.6351739	72	35	0	107	35
0	18.12262695	173.5	459.02924154	6.92083333	0	0	1.235	26.79492063	0.0	-6.97943815	3247.46796354	1	3240.48852539	68.93352509	1.95	0	66311.06869778	73	35	0	108	35
0	18.37135854	176.5	459.61592439	6.92083333	0	0	1.235	26.79492063	0.00111678	-7.64316332	3247.19858324	1	3239.55541992	65.57178497	2.015	0	67206.50242483	74	35	0	109	35
0	18.62149618	175.5	458.589252	6.92083333	0	0	1.235	26.79492063	-0.002221	-9.68768906	3247.33856797	1	3237.65087891	68.64685822	1.885	0	68106.99793175	75	35	0	110	35
0	19.00880077	175.5	460.08610743	6.92083333	0	0	1.235	26.79492063	-0.00071721	-8.05942981	3247.98887317	1	3239.92944336	65.87254333	1.82	0	69501.2944548	76	35	0	111	35
0	19.1227195	175.5	455.58663052	6.92083333	0	0	1.235	26.79492063	-0.01219193	-5.71796013	3248.14520623	1	3242.42724609	67.64273834	1.495	0	69911.40185513	77	35	0	112	35
0	19.37160576	174.5	459.58610743	6.92083333	0	0	1.235	26.79492063	0.0066965	-7.26950582	3247.84763082	1	3240.578125	66.34740448	1.885	0	70807.39239938	78	35	0	113	35
0	19.6213117	177.5	459.14480123	6.92083333	0	0	1.235	26.79492063	0.00333726	-10.70085741	3247.73869921	1	3237.0378418	60.96526718	2.08	0	71706.33380155	79	35	0	114	35
0	20.01147604	176.0	459.61494467	6.92083333	0	0	1.17	26.79492063	-0.00355975	-8.17026376	3247.54355478	1	3239.37329102	68.86288452	1.755	0	73110.92540238	80	35	0	115	35
0	20.12253123	176.5	456.14438421	6.92083333	0	0	1.235	26.79492063	-0.01250629	-9.53093488	3247.40813215	1	3237.87719727	63.79335403	1.43	0	73510.7240841	81	35	0	116	35
0	20.37110358	175.5	460.58610743	6.92083333	0	0	1.235	26.79492063	0.00558746	-8.01054276	3247.30058182	1	3239.29003906	68.24373627	1.755	0	74405.58457513	82	35	0	117	35
0	20.62161458	174.5	459.58610743	6.92083333	0	0	1.235	26.79492063	0.00221769	-8.11217426	3247.65221332	1	3239.54003906	67.20602417	1.885	0	75307.42414858	83	35	0	118	35
